ID,NAME,KEY_NAME,DEPARTMENT,BRANCH,SPELL,SPELL_DEP,POP_NAME,POP_SPELL,CATEGORY,RANK,RANK_CATE,RANK_CITY,RANK_SEARCH,X_COORD,Y_COORD,AD_CODE,ADDRESS,ADDR_PROV,PROV_CODE,ADDR_CITY,CITY_CODE,ADDR_COUNTY,COUNTY_CODE,ADDR_TOWN,TOWN_ID,ADDR_VILLAGE,VILLAGE_ID,ADDR_BUILDING,ADDR_REGION,REGION_ID,ADDR_STREETNO,ADDR_ROAD,ROAD_ID,L_R,LINK_ID,POST_CODE,TELEPHONE,PHONE_INFO,TOLLFREE_NUMBER,EMAIL,EMAIL_INFO,FAX,WEBSITE,WEBSITE_INFO,PAYMENT_METHOD,OPERATION_HOUR,TRADE_MARK,IMAGE_ID,ESTABLISH_TIME,LAST_UPDATE,CONTACT,LANGUAGE,SPECIALITY,AFFILIATION,TAGLINE,DESC,CLASS
B001557ODL,强仔工作坊,,,,QiangZai GongZuoFang,,,,070000,0,0.00-0.55,100000000,0,121.472707,31.043336,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238849,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00156ELC1,上海柯梦包装印刷有限公司,,,,ShangHai KeMeng BaoZhuang YinShua YouXianGongSi,,,,170200,0,0.00-0.32,100000000,0,121.432462,31.034929,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,237659,,,,,,,,,,,,,,2012-02-20,2012-09-08,,中文,,,,,3
B00156F34C,米其儿儿童早教中心,,,,MiQiEr ErTong ZaoJiao ZhongXin,,,,141400,0,0.00-0.35,100000000,0,121.408985,31.016734,310112,金平路544-546,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,544-546,金平路,4618,,235243,,021-62205708,,,,,,,,,,,0l422012062500001400,2012-02-20,2012-09-07,,中文,,,,,5
B00156DXH0,中国福利彩票,,,,ZhongGuo FuLi CaiPiao,,,,071800,1888,0.00-0.22,100000000,7370000,121.410011,31.043455,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235804,,,,,,,,,,,,,,2012-02-20,2012-09-08,,中文,,,,,1
B00155E16K,宝秀副食品配送服务社,,,,BaoXiu FuShiPin PeiSong FuWuShe,,,,060703,0,0.00-0.56,100000000,0,121.464168,31.043532,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236506,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155Q4XZ,闵行区城市管理监察大队吴泾分队(吴泾镇人民政府西),闵行区城市管理监察大队吴泾分队,,吴泾镇人民政府西,MinHangQu ChengShi GuanLi JianCha DaDui WuJing FenDui (WuJingZhen RenMin ZhengFu Xi),,,,130105,5518,0.52-0.75,100000000,8,121.451029,31.036943,310112,剑川路458,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,458,剑川路,4258,,239202,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B00155CZ9A,上海东健净化有限公司办事处,,,,ShangHai DongJian JingHua YouXianGongSi BanShiChu,,,,170200,0,0.00-0.32,100000000,0,121.417415,31.028892,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,234365,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00156DXF0,信谊家电维修部,,,,XinYi JiaDian WeiXiuBu,,,,071200,0,0.00-0.28,100000000,0,121.464954,31.039052,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,239919,,,,,,,,,,,,,,2012-02-20,2012-09-08,,中文,,,,,1
B00155QORB,上海裕胤特钢实业发展有限公司,,,,ShangHai YuYin TeGang ShiYe FaZhan YouXianGongSi,,,,170200,0,0.00-0.32,100000000,0,121.409227,31.036297,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235025,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B001558ZVB,北桥888水站,,,,BeiQiao 888 ShuiZhan,,,,061200,0,0.00-0.35,100000000,0,121.413037,31.044876,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236299,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B0015587JY,易祥网吧,,,,YiXiang WangBa,,,,080308,1600,0.16-0.58,100000000,0,121.407607,31.042939,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238093,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155DITB,上海俞塘药店,,,,ShangHai YuTang YaoDian,,,,090601,0,0.00-0.35,100000000,0,121.383220,31.032611,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235338,,021-64098300,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155EEZS,上海沪剑广告有限公司(闵行区医疗急救站吴泾分站西),上海沪剑广告有限公司,,闵行区医疗急救站吴泾分站西,ShangHai HuJian GuangGao YouXianGongSi (MinHangQu YiLiao JiJiuZhan WuJing FenZhan Xi),,,,170201,0,0.00-0.32,100000000,0,121.466404,31.041415,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236504,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155D6HT,金塔二村,,,,JinTa ErCun,,,,120302,3000,0.30-0.62,100000000,0,121.408218,31.040409,310112,北桥镇,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238232,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B00155QOQO,实田车饰,,,,ShiTian CheShi,,,,010400,0,0.00-0.35,100000000,0,121.402220,31.021633,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238697,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,5
B00155QOIE,金色年华护肤造型中心,,,,JinSe NianHua HuFu ZaoXing ZhongXin,,,,071100,0,0.00-0.28,100000000,0,121.390922,31.025844,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,234496,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,3
B00156D3SP,旺湘阁(金平店),旺湘阁,,金平店,WangXiangGe (JinPing Dian),,,,050100,0,0.00-0.70,100000000,0,121.408280,31.019950,310112,金平路723,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,723,金平路,4618,,239090,,021-34292917,,,,,,,,,,,0l422012062500001620,2012-02-20,2012-09-15,,中文,,,,,3
B00156D3Q2,公共厕所,,,,GongGong CeSuo,,,,200300,1203,0.00-0.14,100000000,7510000,121.474678,31.044023,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235715,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00156F3DB,停车场,,,,TingCheChang,,,,150906,10000,0.10-0.28,100000000,100000000,121.419365,31.018521,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235224,,,,,,,,,,,,,,2012-02-20,2012-09-07,,中文,,,,,5
B00154EZZT,上海诚索电梯成套部件有限公司,,,,ShangHai ChengSuo DianTi ChengTao BuJian YouXianGongSi,,,,170200,0,0.00-0.32,100000000,0,121.405793,31.034980,310112,新春路398号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,398,新春路,9407,,238652,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155CYA3,上海创磊汽车装潢服务有限公司,,,,ShangHai ChuangLei QiChe ZhuangHuang FuWu YouXianGongSi,,,,010400,0,0.00-0.35,100000000,0,121.419546,31.020951,310112,沪闵路1273号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,1273,沪闵路,3613,,239019,,021-54709849,,,,,,,,,,,0l302011101100000122,2012-02-20,2012-09-11,,中文,,,,,5
B00155QPP3,志佳门窗,,,,ZhiJia MenChuang,,,,060603,2100,0.21-0.70,100000000,0,121.416677,31.036391,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238743,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00155QPOR,朱师傅馒头,,,,ZhuShiFu ManTou,,,,050000,0,0.00-0.70,100000000,0,121.420468,31.029380,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,234626,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00155BMFM,上海稳胜针织有限公司,,,,ShangHai WenSheng ZhenZhi YouXianGongSi,,,,170200,0,0.00-0.32,100000000,0,121.404075,31.033877,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238652,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B00155BENX,上海腾飞劳务服务有限公司,,,,ShangHai TengFei LaoWu FuWu YouXianGongSi,,,,070800,2750,0.28-0.55,100000000,0,121.405725,31.041510,310112,北松公路167号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,167,北松公路,590,,236253,,021-54468611,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155D7N6,蓝色天空(金榜家园东北),蓝色天空,,金榜家园东北,LanSe TianKong (JinBang JiaYuan DongBei),,,,061101,0,0.00-0.35,100000000,0,121.410332,31.040367,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,234662,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B00155Q4W1,电计科技研发(上海)有限公司,,,,DianJi KeJi YanFa (ShangHai) YouXianGongSi,,,,170200,0,0.00-0.32,100000000,0,121.458472,31.020111,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,233855,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,3
B00156DXIP,永四商店,,,,YongSi ShangDian,,,,060200,0,0.00-0.56,100000000,0,121.464803,31.039542,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,239919,,,,,,,,,,,,,,2012-02-20,2012-09-08,,中文,,,,,1
B00155QOC6,成都饭店,,,,ChengDu FanDian,,,,050102,4899,0.00-0.70,100000000,398000,121.430844,31.016979,310112,东川路889-5,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,889-5,东川路,1617,,234679,,,,,,,,,,,,,0l422012062800000442,2012-02-20,2012-09-09,,中文,,,,,1
B00155QVFH,长城宽带(龙吴路营业厅),长城宽带,,龙吴路营业厅,ChangCheng KuanDai (LongWu Lu YingYeTing),,,,070600,2750,0.28-0.55,100000000,0,121.467135,31.045264,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,237984,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00155QU82,上海广梁精车坊,,,,ShangHai GuangLiangJing CheFang,,,,010400,0,0.00-0.35,100000000,0,121.466017,31.037797,310112,广南路358-360,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,358-360,广南路,2761,,235009,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00155QVBH,乐家,,,,LeJia,,,,060101,1400,0.14-0.70,100000000,0,121.463520,31.044434,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,237828,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,5
B0015584D2,星乐酒家,,,,XingLe JiuJia,,,,050100,0,0.00-0.70,100000000,0,121.476207,31.038433,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235017,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B001557OH5,上海侨友汽车维修厂,,,,ShangHai QiaoYou QiChe WeiXiuChang,,,,030000,0,0.00-0.50,100000000,0,121.416029,31.029661,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,234627,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B00156ENQK,停车场,,,,TingCheChang,,,,150904,10000,0.10-0.28,100000000,100000000,121.464410,31.032993,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,239688,,,,,,,,,,,,,,2012-02-20,2012-09-08,,中文,,,,,1
B00156F45A,我享我家大厦,,,,WoXiang WoJia DaSha,,,,120201,4200,0.42-0.70,100000000,0,121.420553,31.025945,310112,剑川路955号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,955,剑川路,4258,,238328,,,,,,,,,,,,,0l422012062700000040,2012-02-20,2012-09-07,,中文,,,,,5
B00155DL2V,闵行区颛桥镇中心村文体活动中心,,,,MinHangQu ZhuanQiaoZhen ZhongXinCun WenTi HuoDong ZhongXin,,,,080300,1600,0.16-0.58,100000000,0,121.401484,31.031964,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238648,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B00156DXAO,徽韵阁,,,,HuiYunGe,,,,050100,0,0.00-0.70,100000000,0,121.458468,31.035750,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,239466,,,,,,,,,,,,,,2012-02-20,2012-09-08,,中文,,,,,1
B00155CER6,重庆火锅店(闵行区野生动物保护管理站东南),重庆火锅店,,闵行区野生动物保护管理站东南,ChongQing HuoGuoDian (MinHangQu YeSheng DongWu BaoHu GuanLiZhan DongNan),,,,050117,0,0.00-0.70,100000000,0,121.413494,31.044500,310112,放鹤路2739号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,2739,放鹤路,1990,,237628,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155QV7U,美家居五金店,,,,MeiJiaJu WuJinDian,,,,060603,2100,0.21-0.70,100000000,0,121.468186,31.040137,310112,龙吴路5587号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,5587,龙吴路,5681,,236663,,021-64520239,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00155CZVC,福建千里香馄饨(新苗路),福建千里香馄饨,,新苗路,FuJian QianLiXiang HunTun (XinMiao Lu),,,,050100,4874,0.00-0.70,100000000,372000,121.410614,31.040897,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236669,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155EXDS,丝郦美容美发,,,,SiLi MeiRong MeiFa,,,,071100,0,0.00-0.28,100000000,0,121.410118,31.040284,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238237,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00156DXSM,上海博凯工业皮带有限公司,,,,ShangHai BoKai GongYe PiDai YouXianGongSi,,,,170200,0,0.00-0.32,100000000,0,121.430365,31.038531,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,239267,,,,,,,,,,,,,,2012-02-20,2012-09-08,,中文,,,,,3
B00155DFPV,上海文晓汽修厂,,,,ShangHai WenXiao QiXiuChang,,,,030000,0,0.00-0.50,100000000,0,121.412620,31.032928,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,234435,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B00155CWIW,巴比特镘头,,,,BaBiTe ManTou,,,,050000,0,0.00-0.70,100000000,0,121.410728,31.040948,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236292,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155C8OU,浙江东阳木雕,,,,ZheJiang DongYang MuDiao,,,,061200,0,0.00-0.35,100000000,0,121.421386,31.029409,310112,银春小区37-38号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238808,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00156DFMJ,停车场,,,,TingCheChang,,,,150904,10000,0.10-0.28,100000000,100000000,121.467429,31.042460,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235706,,,,,,,,,,,24H,,,2012-02-20,2012-09-09,,中文,,,,,5
B00155QRC6,包旺锅贴(永德路),包旺锅贴,,永德路,BaoWang GuoTie (YongDe Lu),,,,050100,0,0.00-0.70,100000000,0,121.461842,31.042288,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236537,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00155QVHP,正浩房产(吴泾店),正浩房产,,吴泾店,ZhengHao FangChan (WuJing Dian),,,,071600,0,0.00-0.28,100000000,0,121.461360,31.042569,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236518,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00154KQNU,上海妮娇服饰辅料有限公司,,,,ShangHai NiJiao FuShi FuLiao YouXianGongSi,,,,170200,0,0.00-0.32,100000000,0,121.413078,31.037696,310112,颛桥镇沪闵路2051号,上海市,310000,上海市,310000,闵行区,310112,颛桥镇,310112t00002,,,,,,2051,沪闵路,3613,,234642,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00156DXC1,晓丁饭店,,,,XiaoDing FanDian,,,,050100,0,0.00-0.70,100000000,0,121.468227,31.039519,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238319,,,,,,,,,,,,,,2012-02-20,2012-09-08,,中文,,,,,1
B00155Q6GW,上海交通大学闵行校区(东北三门),上海交通大学闵行校区,,东北三门,ShangHai JiaoTong DaXue MinHang XiaoQu (DongBei SanMen),,,,141201,4200,0.42-0.70,100000000,0,121.449565,31.026295,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,239699,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B00155DBL1,尚智喜,,,,ShangZhiXi,,,,060000,0,0.00-0.70,100000000,0,121.410397,31.040406,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,234662,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B001557OFE,乔丹专卖(永德路步行街),乔丹专卖,,永德路步行街,QiaoDan ZhuanMai (YongDe Lu BuXingJie),,,,060900,1400,0.14-0.49,100000000,0,121.465353,31.042929,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235376,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B001557H2J,良友金伴(永德路步行街),良友金伴,,永德路步行街,LiangYou JinBan (YongDe Lu BuXingJie),,,,060200,4008,0.00-0.56,100000000,533000,121.464741,31.043270,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235376,,,,,,,,,,,24H,,,2012-02-20,2012-09-11,,中文,,,,,5
B00155IW4G,枫桦景苑(南区),枫桦景苑,,南区,FengHua JingYuan (NanQu),,,,120302,3000,0.30-0.62,100000000,0,121.462661,31.041861,310112,剑川路,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,剑川路,4258,,236536,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B001556OWF,部落情(吴泾店),部落情,,吴泾店,BuLuoQing (WuJing Dian),,,,050101,0,0.00-0.70,100000000,0,121.465758,31.041197,310112,剑川路167号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,167,剑川路,4258,,236504,,021-64521877,,,,,,,,,,,,2012-02-20,2012-09-15,,中文,,,,,3
B0015582NF,协享手机连锁(永德路步行街),协享手机连锁,,永德路步行街,XieXiang ShouJi LianSuo (YongDe Lu BuXingJie),,,,060305,700,0.07-0.70,100000000,0,121.464444,31.042779,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235376,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B0015586ID,阳光形象设计(永德路步行街),阳光形象设计,,永德路步行街,YangGuang XingXiang SheJi (YongDe Lu BuXingJie),,,,071100,0,0.00-0.28,100000000,0,121.465622,31.043489,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235376,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155QOG1,广丰电动工具五金批发,,,,GuangFeng DianDong GongJu WuJin PiFa,,,,060603,2100,0.21-0.70,100000000,0,121.414336,31.035561,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,238743,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00155D31E,上海海湾电子科技有限公司,,,,ShangHai HaiWan DianZi KeJi YouXianGongSi,,,,170204,0,0.00-0.32,100000000,0,121.411845,31.037426,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235025,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,5
B0015579LZ,捷路运动专卖,,,,JieLu YunDong ZhuanMai,,,,060900,1400,0.14-0.49,100000000,0,121.465765,31.043016,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,235376,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155CGX9,尊利陶瓷(我享我家大厦西),尊利陶瓷,,我享我家大厦西,ZunLi TaoCi (WoXiang WoJia DaSha Xi),,,,060603,2100,0.21-0.70,100000000,0,121.418002,31.026264,310112,思购建材市场陶瓷厅31号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,239107,,021-54700384,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00154NWS8,上海文荣新型塑料型材有限公司,,,,ShangHai WenRong XinXing SuLiao XingCai YouXianGongSi,,,,170200,1215,0.00-0.32,100000000,978,121.414490,31.045053,310112,放鹤路2438号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,2438,放鹤路,1990,,236857,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,3
B00155839B,新华书店(龙吴路),新华书店,,龙吴路,XinHua ShuDian (LongWu Lu),,,,061205,3347,0.00-0.35,100000000,44900000,121.467262,31.044742,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,237985,,,,,,,,,,,,,,2012-02-20,2012-09-17,,中文,,,,,1
B00155QVI6,雷允上(永德路),雷允上,,永德路,LeiYunShang (YongDe Lu),,,,090601,2682,0.00-0.35,100000000,1350000,121.461941,31.042293,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236537,,,,,,,,,,,,,,2012-02-20,2012-09-09,,中文,,,,,1
B00154QPDX,紫江集团上海紫华企业有限公司,,,,ZiJiang JiTuan ShangHai ZiHua QiYe YouXianGongSi,,,,170200,0,0.00-0.32,100000000,0,121.387299,31.032891,310112,北松路999号,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,999,北松路,595,,238090,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,3
B00155E6PA,东兴窗帘,,,,DongXing ChuangLian,,,,060605,2100,0.21-0.70,100000000,0,121.466473,31.041436,310112,,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,,,,,236504,,,,,,,,,,,,,,2012-02-20,2012-09-11,,中文,,,,,1
B00155QWRE,中国农业银行24小时自助银行(上海吴泾支行),中国农业银行24小时自助银行,,上海吴泾支行,ZhongGuo NongYe YinHang 24 XiaoShi ZiZhu YinHang (ShangHai WuJing ZhiHang),,,,160304,2923,0.16-0.34,100000000,762000,121.469040,31.042170,310112,剑川路141,上海市,310000,上海市,310000,闵行区,310112,,,,,,,,141,剑川路,4258,,236057,,,,,,,,,,,24H,,,2012-02-20,2012-09-09,,中文,,,,,5
